LATITUDE_DENSE,LONGITUDE_DENSE,TÜR,MAHAL ADI,İLÇE,LATITUDE_PARK,LONGITUDE_PARK
40.9762573242188,28.7347412109375,Cadde (Kavşak ve Refüj),AVCILAR VATAN HASTANESİ KAVŞAĞI - AVCILAR KAVŞAĞI ARASI,Avcılar,40.97843405,28.73487264
40.9707641601563,28.7347412109375,Park,AVCILAR SAHİL PARKI - 2,Avcılar,40.97097572,28.73806983
41.0476684570313,29.2510986328125,Cadde (Kavşak ve Refüj),SARAY CADDESİ ORTA VE YAN REFÜJLER,Çekmeköy,41.0479378,29.2452603
41.0092163085938,29.2401123046875,Cadde (Kavşak ve Refüj),ATATÜRK CADDESİ ORTA VE YAN REFÜJLER,Sancaktepe,41.0076161,29.2434241
41.0092163085938,29.2401123046875,Cadde (Kavşak ve Refüj),BAHÇELİEVLER CADDESİ,Sancaktepe,41.0110254,29.2437986
41.0751342773438,28.9544677734375,Park,ŞEHİT KUBİLAY PARKI,Eyüpsultan,41.07723030,28.95970362
41.1135864257813,28.5040283203125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ÇATALCA KUZEY MARMARA OTOYOLU BAĞLANTI KAVŞAĞI,Çatalca,41.11052876,28.50394249
41.1026000976563,28.5919189453125,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TEM HADIMKÖY KAVŞAĞI - ÇATALCA KAVŞAĞI ARASI YAN REFÜJLER,Arnavutköy,41.10439790,28.58827972
41.0806274414063,28.9434814453125,Park,ALİBEYKÖY MERKEZ PARKI,Eyüpsultan,41.08068758,28.94876808
41.0806274414063,28.9434814453125,Park,KUTLU DOĞUM PARKI,Eyüpsultan,41.07913683,28.93938303
41.0806274414063,28.9434814453125,Park,ŞEHİT HALİT AYDIN PARKI,Eyüpsultan,41.08374650,28.94442558
41.0806274414063,28.9434814453125,Park,ŞEHİT HÜSEYİN ÇATALKAŞ PARKI,Eyüpsultan,41.08077856,28.93959224
41.0806274414063,28.9434814453125,Kamu,İBB TEVFİK AYDENİZ SPOR SALONU BAHÇESİ,Eyüpsultan,41.08149104,28.93816209
41.0366821289063,28.8336181640625,Park,BAĞCILAR KİRAZLI MAHALLESİ ZEMİN ÜSTÜ PARKI,Bağcılar,41.03273441,28.83470443
